epoch, reward, loss
951, -1.31, 1.6838
952, 1.02, 1.6978
953, 0.38, 1.6739
954, 0.33, 1.6817
955, 1.23, 1.6870
956, 0.43, 1.6964
957, 0.57, 1.7065
958, -0.51, 1.6808
959, 1.01, 1.6806
960, 1.55, 1.6702
961, 1.03, 1.6894
962, 0.63, 1.6792
963, 1.26, 1.6795
964, -0.20, 1.6748
965, 0.29, 1.6837
966, 0.96, 1.6891
967, 0.91, 1.6881
968, 0.81, 1.6785
969, 0.31, 1.6573
970, 1.46, 1.6808
971, -0.99, 1.6858
972, 0.27, 1.6897
973, 0.15, 1.6703
974, 1.51, 1.6703
975, 0.88, 1.6855
976, 1.29, 1.6898
977, 0.77, 1.6876
978, 1.01, 1.6779
979, 0.58, 1.6824
980, 0.39, 1.6886
981, -0.58, 1.6809
982, -0.97, 1.6741
983, 1.54, 1.6848
984, 0.61, 1.6750
985, 0.20, 1.6633
986, -0.27, 1.6984
987, 1.77, 1.6797
988, 1.06, 1.6799
989, 0.60, 1.6923
990, 0.94, 1.6695
991, 0.13, 1.6941
992, 0.41, 1.6792
993, 0.73, 1.7037
994, 0.35, 1.6939
995, -0.22, 1.6739
996, 0.68, 1.6861
997, -0.15, 1.6974
998, 0.57, 1.6867
999, 1.10, 1.6825
1000, -0.22, 1.6873
1001, 0.51, 1.6814
1002, -0.00, 1.6907
1003, 0.46, 1.6922
1004, 0.25, 1.6842
1005, -0.15, 1.6976
1006, 0.78, 1.6903
1007, 0.43, 1.7022
1008, 0.98, 1.6806
1009, 0.96, 1.6885
1010, -0.00, 1.7078
1011, -0.64, 1.6891
1012, 0.32, 1.7004
1013, 0.19, 1.6935
1014, 0.60, 1.6990
1015, -1.39, 1.6920
1016, 0.26, 1.6902
1017, 0.89, 1.6716
1018, -0.86, 1.6885
1019, 1.04, 1.6954
1020, -0.76, 1.6954
1021, -0.69, 1.6930
1022, 0.30, 1.7027
1023, 0.59, 1.6947
1024, -1.48, 1.7116
1025, 0.28, 1.6841
1026, -0.88, 1.6941
1027, 0.35, 1.6950
1028, 0.37, 1.7037
1029, 1.18, 1.7280
1030, 2.20, 1.7036
1031, 0.66, 1.7063
1032, 1.82, 1.6821
1033, 0.50, 1.6886
1034, 0.34, 1.6990
1035, 2.16, 1.6974
1036, 0.24, 1.7100
1037, 1.33, 1.6918
1038, 0.19, 1.6961
1039, 1.02, 1.7012
1040, 0.78, 1.7032
1041, 0.50, 1.6931
1042, -0.60, 1.7052
1043, -0.18, 1.6937
1044, 0.04, 1.6931
1045, 0.62, 1.6840
1046, 1.13, 1.6835
1047, 1.49, 1.6840
1048, 0.44, 1.6976
1049, -0.79, 1.6722
1050, -1.08, 1.6940
1051, 0.12, 1.7075
1052, -0.21, 1.6836
1053, 1.11, 1.6729
1054, 0.99, 1.7065
1055, 0.44, 1.6882
1056, 0.74, 1.6991
1057, 0.02, 1.6845
1058, 0.05, 1.6857
1059, -0.52, 1.6837
1060, 0.02, 1.6887
1061, 0.08, 1.7075
1062, 0.63, 1.6777
1063, -0.88, 1.7022
1064, 0.27, 1.6881
1065, 1.22, 1.6924
1066, 0.26, 1.6931
1067, 0.08, 1.6854
