epoch, reward, loss
651, -0.59, 9.6942
652, 0.13, 9.7224
653, 0.36, 9.6512
654, -0.22, 9.6429
655, 0.28, 9.7040
656, 0.52, 9.6475
657, 0.59, 9.7116
658, -0.99, 9.6288
659, 1.17, 9.6713
660, 0.47, 9.6351
661, -0.53, 9.6452
662, -0.73, 9.6599
663, -1.52, 9.6515
664, 0.58, 9.6345
665, -0.34, 9.5681
666, -0.25, 9.5954
667, 0.92, 9.6056
668, -1.15, 9.5825
669, -0.34, 9.5975
670, 0.27, 9.5944
671, 0.46, 9.5860
672, -0.12, 9.5302
673, -0.19, 9.6347
674, 0.03, 9.5655
675, -0.67, 9.5759
676, 0.26, 9.5655
677, 0.87, 9.6124
678, 0.49, 9.5333
679, 1.06, 9.5460
680, -0.60, 9.5437
681, -0.98, 9.5499
682, 0.84, 9.5057
683, 1.61, 9.5515
684, -0.12, 9.5112
685, -1.28, 9.5042
686, -0.08, 9.5134
687, 0.58, 9.5523
688, -1.18, 9.5190
689, -0.82, 9.4657
690, -0.14, 9.4817
691, -1.42, 9.5225
692, -2.44, 9.4834
693, 0.02, 9.5058
694, 0.74, 9.4693
695, -0.39, 9.4944
696, -0.55, 9.4713
697, -1.62, 9.4719
698, -0.51, 9.4176
699, -0.29, 9.4558
700, -0.76, 9.4558
701, 0.60, 9.4078
702, 0.41, 9.4333
703, -0.54, 9.4465
704, 1.05, 9.4479
705, -0.36, 9.3865
706, -1.06, 9.4580
707, -2.10, 9.3312
708, 0.55, 9.3693
709, -0.21, 9.3755
710, -0.03, 9.4006
711, -0.29, 9.3718
712, -0.14, 9.3738
713, 0.78, 9.3974
714, -0.02, 9.3626
715, -0.48, 9.3509
716, -0.81, 9.3384
717, -0.32, 9.2458
718, -0.74, 9.3686
719, 0.44, 9.3247
720, 0.74, 9.3056
721, -0.09, 9.2841
722, -2.62, 9.2661
723, -0.72, 9.3311
724, 2.09, 9.2890
725, -0.94, 9.3390
726, -0.66, 9.2920
727, -0.32, 9.2837
728, -1.41, 9.2936
729, 0.31, 9.2905
730, -0.60, 9.2503
731, 0.07, 9.2908
732, -0.02, 9.3009
733, 0.08, 9.2534
734, 0.41, 9.2550
735, -1.24, 9.2465
736, 0.11, 9.1871
737, -0.66, 9.2322
738, -0.88, 9.3097
739, 1.56, 9.2214
740, 0.99, 9.2293
741, -0.38, 9.2415
742, -1.50, 9.2464
743, -0.02, 9.2129
744, 0.01, 9.2117
745, 0.68, 9.2160
746, 0.55, 9.2261
747, 0.73, 9.1999
748, -1.14, 9.1899
749, 0.29, 9.1631
750, 0.03, 9.1526
751, -0.28, 9.1858
752, -1.42, 9.1720
753, -0.39, 9.1504
754, -1.18, 9.1468
755, -0.64, 9.1122
756, -1.38, 9.1702
757, -0.21, 9.1486
758, 0.68, 9.0876
759, 0.94, 9.1466
760, -0.86, 9.1407
761, 0.39, 9.1270
762, -1.70, 9.1484
763, -0.67, 9.1611
764, -1.20, 9.1697
765, -0.85, 9.1566
766, 0.56, 9.1671
767, 1.12, 9.1684
768, -1.63, 9.1570
769, 0.40, 9.1302
770, -1.31, 9.1176
771, 1.07, 9.1873
772, -1.66, 9.1204
773, -0.10, 9.0866
774, -0.44, 9.1667
775, -1.75, 9.1132
776, -1.01, 9.0898
777, -0.16, 9.0976
778, -0.90, 9.1140
779, 0.65, 9.0901
780, -0.03, 9.1633
781, 0.94, 9.1231
782, -0.24, 9.1635
783, -0.31, 9.1680
784, 0.74, 9.1354
785, -0.26, 9.1065
786, -0.76, 9.0575
787, -1.00, 9.1723
788, -0.21, 9.0584
789, 0.01, 9.0249
790, -0.16, 9.0572
791, -0.12, 9.0747
792, -0.45, 9.0882
793, -0.25, 8.9972
794, -1.65, 9.0418
795, -1.23, 9.0407
796, -1.24, 9.0484
797, -0.38, 9.0842
798, 0.31, 9.0335
799, -1.17, 9.0055
800, -1.13, 9.0236
801, -0.49, 9.0213
802, -1.11, 8.9833
803, -1.98, 9.0122
804, -1.04, 8.9934
805, 0.67, 8.9981
806, -1.41, 8.9957
807, 0.31, 8.9892
808, -0.34, 8.9375
809, 0.41, 8.9930
810, 1.02, 9.0424
811, -0.19, 8.9773
812, -1.96, 8.9520
813, -1.18, 8.9498
814, 0.73, 8.9581
815, 0.04, 8.9617
816, -0.48, 8.9280
817, -1.63, 8.9683
818, -0.06, 8.9142
819, -1.10, 8.9711
820, -0.32, 8.9654
821, -0.28, 8.9334
822, -0.85, 8.9551
823, -0.00, 8.9385
824, -0.64, 8.9186
825, -0.65, 8.8722
826, -0.13, 8.9327
827, 1.07, 8.9367
828, 0.87, 8.8786
829, -0.36, 8.9096
830, 1.06, 8.8817
831, 0.14, 8.8746
832, 0.13, 8.8794
833, -0.74, 8.8638
834, 0.64, 8.8714
835, 0.35, 8.8853
836, 1.00, 8.8802
837, 1.03, 8.8581
838, -0.22, 8.8133
839, -1.95, 8.8819
840, -0.48, 8.8507
841, -0.34, 8.8250
842, -0.95, 8.7910
843, -0.24, 8.8065
844, 0.17, 8.7631
845, -1.13, 8.7966
846, -1.48, 8.8582
847, -0.22, 8.8183
848, -1.38, 8.8116
849, -0.20, 8.7925
850, -0.32, 8.7940
851, 0.12, 8.7693
852, -0.27, 8.7988
853, -0.63, 8.8066
854, 0.99, 8.8257
855, -0.26, 8.7830
856, -0.55, 8.7891
857, -0.66, 8.7992
858, -0.58, 8.8503
859, -1.22, 8.7651
860, 0.92, 8.8203
861, -0.04, 8.7769
862, -0.59, 8.7861
863, -0.62, 8.8200
864, 0.29, 8.7806
865, -0.38, 8.8132
866, -0.82, 8.8318
867, 0.22, 8.7683
868, -0.89, 8.7719
869, 0.28, 8.7504
870, 0.84, 8.7665
871, 0.77, 8.7426
872, -2.29, 8.7059
873, -0.81, 8.7798
874, -0.26, 8.7399
875, 0.78, 8.7251
876, -0.42, 8.7458
877, 0.14, 8.7097
878, -0.27, 8.7677
879, -0.20, 8.7262
880, 0.58, 8.7024
881, 0.41, 8.7160
882, -1.38, 8.6907
883, -0.67, 8.7398
884, -0.39, 8.7472
885, -0.32, 8.6693
886, -0.13, 8.7228
887, -0.82, 8.7106
888, -0.33, 8.7228
889, 0.05, 8.6810
890, -0.38, 8.6682
891, -1.57, 8.6909
892, -0.04, 8.6687
893, -1.20, 8.7151
894, 0.29, 8.6546
895, -0.27, 8.6544
896, 0.90, 8.6625
897, -0.19, 8.7150
898, -1.86, 8.6580
899, -0.79, 8.6591
900, -0.52, 8.6273
901, -0.27, 8.6644
902, 0.32, 8.6670
903, 1.17, 8.6642
904, -0.47, 8.7110
905, -0.91, 8.6212
906, -0.74, 8.6263
907, -0.02, 8.6485
908, -1.12, 8.6785
909, 0.09, 8.6505
910, -0.84, 8.6283
911, -0.10, 8.6361
912, -2.30, 8.6663
913, -0.02, 8.6211
914, -0.08, 8.6087
915, -0.43, 8.6626
916, -0.44, 8.5972
917, -0.53, 8.6128
918, -1.16, 8.6559
919, 0.28, 8.5575
920, -0.41, 8.6174
921, 0.66, 8.5942
922, 0.27, 8.6399
923, 0.25, 8.5754
924, -2.62, 8.5676
925, -0.03, 8.5963
926, -0.42, 8.6045
927, -0.75, 8.6162
928, -2.15, 8.6175
929, 0.52, 8.5519
930, -1.02, 8.5593
931, -0.12, 8.5246
932, -0.71, 8.5429
933, -1.62, 8.5664
934, 0.47, 8.5353
935, -0.57, 8.5466
936, -0.24, 8.5131
937, 0.67, 8.5572
938, -0.71, 8.4807
939, 1.46, 8.5605
940, -1.07, 8.5357
941, 0.23, 8.5645
942, -0.64, 8.4891
943, -2.04, 8.5121
944, 0.24, 8.5490
945, -1.53, 8.5715
946, -1.04, 8.5197
947, -0.11, 8.5401
948, -0.42, 8.4675
949, -0.05, 8.4683
950, -1.75, 8.4782
951, 0.97, 8.5168
952, -1.45, 8.4481
953, -2.59, 8.4686
954, -0.24, 8.4839
955, 0.35, 8.4694
956, -0.38, 8.4618
957, -1.21, 8.4717
958, -1.01, 8.4111
959, -0.54, 8.4422
960, 0.16, 8.4545
961, -0.99, 8.4613
962, 0.16, 8.4370
963, 0.18, 8.4219
964, -0.64, 8.4111
965, -0.35, 8.3998
966, 0.22, 8.4230
967, 0.36, 8.4308
968, 0.18, 8.4300
